model,n,covariates,auc_insample,brier,event_rate
eqd2_only,137,eqd2_gy,0.5742559523809524,0.17617041884508247,0.7664233576642335
volume_only,137,volume_cc,0.7074404761904761,0.16220366684677853,0.7664233576642335
volume_age_ps,137,volume_cc+age+who_status,0.7101190476190476,0.1617225197438534,0.7664233576642335
volume_age_ps_scheme,137,volume_cc+age+who_status+scheme_60gy,0.7160714285714286,0.16046792624281703,0.7664233576642335
volume_age_ps_scheme_interaction,137,volume_cc+age+who_status+scheme_60gy+volume_x_scheme,0.7220238095238095,0.1602397848206957,0.7664233576642335
